		北京	上海	天津	重庆	哈尔滨	长春	沈阳	呼和浩特	石家庄	乌鲁木齐	兰州	西宁	西安	银川	郑州	济南	太原	合肥	武汉	长沙	南京	成都	贵阳	昆明	南宁	拉萨	杭州	南昌	广州	福州	台北	海口	香港	澳门
北京		0	1076	118	1461	1058	857	630	405		268	2397		1175	1322	910	884	620	366	411	916	1048	1340	903	1516	1726	22090	2049	2569	1138	1254	1888	1575	1730	2289	1973	2005
上海		1076	0	952	1457	1673	1434	1184	1377		975	3277		1730	1916	1222	1597	842	736	1106	410	691	888	274	1667	1533	1967	1605	2912	169	613	1215	616	689	1673	1230	1287
天津		118	952	0	1440	1071	862	605	502		264	2508		1223	1380	914	949	581	273	429	808	985	1273	797	1521	1698	2071	1994	2604	1028	1173	1818	1465	1614	2223	1887	1910
重庆		1461	1457	1440	0	2508	2293	2034	1324		1188	2293		751	887	562	979	881	1251	1072	1058	760	653	1206	255	334	631	783	1482	1323	929	987	1322	1570	1142	1117	1082
哈尔滨		1058	1673	1071	2508	0	236	504	1309		1308	3044		2178	2291	1961	1848	1637	1285	1449	1742	1993	2286	1662	2566	2758	3131	3031	3554	1817	2120	2790	2285	2348	3222	2834	2870
长春		857	1434	862	2293	236	0	272	1172		1123	3001		2021	2150	1771	1706	1422	1066	1271	1520	1767	2061	1435	2378	2551	2933	2813	3406	1581	1893	2560	2052	2112	3058	2603	2642
沈阳		630	1184	605	2034	504	272	0	982		868	2907		1803	1939	1518	1496	1154	794	1034	1243	1491	1788	1162	2126	2279	2668	2543	3189	1318	1620	2284	1789	1882	2712	2326	2366
呼和浩特	405	1377	502	1324	1309	1172	982	0		390	2004		870	984	773	539	697	648	333	1112	1163	1407	1158	1330	1648	1947	2029	2244	1405	1411	1974	1784	1973	2318	2069	2075
石家庄		268	975	264	1188	1308	1123	868	390		0	2345		970	1129	657	721	372	271	171	745	827	1109	770	1265	1466	1830	1783	2339	1004	1056	1674	1410	1589	2041	1740	1766
乌鲁木齐	2397	3277	2508	2293	3044	3001	2907	2004		2345	0		1625	1442	2116	1668	2442	2603	2187	2901	2765	2842	3006	2058	2562	2495	3010	1605	3235	3029	3279	3468	3703	3380	3411	3374
兰州		1175	1730	1223	751	2178	2021	1803	870		970	1625		0	194	503	341	898	1180	796	1320	1146	1221	1444	604	1080	1230	1537	1381	1653	1403	1697	1842	2082	1892	1824	1798
西宁		1322	1916	1380	887	2291	2150	1939	984		1129	1442		194	0	695	438	1081	1344	960	1524	1337	1395	1631	694	1193	1284	1651	1261	1838	1587	1876	2027	2273	2014	1990	1957
西安		910	1222	914	562	1961	1771	1518	773		657	2116		503	695	0	532	435	777	516	820	649	771	949	607	874	1186	1273	1754	1150	915	1305	1350	1587	1588	1421	1409
银川		884	1597	949	979	1848	1706	1496	539		721	1668		341	438	532	0	782	959	552	1252	1140	1287	1341	882	1307	1523	1751	1694	1576	1406	1842	1836	2069	2076	1943	1923
郑州		620	842	581	881	1637	1422	1154	697		372	2442		898	1081	435	782	0	370	361	463	467	728	560	1007	1122	1507	1422	2191	793	715	1293	1106	1315	1669	1380	1391
济南		366	736	273	1251	1285	1066	794	648		271	2603		1180	1344	777	989	370	0	423	544	719	1012	532	1374	1490	1882	1755	2525	768	905	1555	1196	1355	1957	1615	1644
太原		411	1106	429	1072	1449	1271	1034	333		171	2187		796	960	516	552	361	423	0	796	827	1073	861	1117	1364	1701	1720	2174	1106	1077	1641	1460	1658	1995	1734	1744
合肥		916	410	808	1058	1742	1520	1243	1112		745	2901		1320	1524	820	1252	463	544	796	0	314	588	149	1266	1197	1619	1336	2524	316	376	1037	658	847	1478	1094	1129
武汉		1048	691	985	760	1993	1767	1491	1163		827	2765		1146	1337	649	1140	467	719	827	314	0	292	457	978	865	1291	1043	2229	566	270	835	702	938	1242	916	930
长沙		1340	888	1273	653	2286	2061	1788	1407		1109	2842		1221	1395	771	1287	728	1012	1073	588	292	0	709	897	649	1076	746	2130	750	297	581	685	926	944	668	672
南京		903	274	797	1206	1662	1435	1162	1158		770	3006		1444	1631	949	1341	560	532	861	149	457	709	0	1405	1320	1750	1451	2648	246	469	1132	670	823	1581	1172	1211
